COUNTRY,meanval,upperval,lowerval,Age,CNTRY,ISO3,Country.code
Lithuania,2.7604101439658796e-4,3.2350992867460654e-4,2.334883236116475e-4,60,LTU,LTU,440
Lithuania,2.1569611826864637e-4,2.496771832009361e-4,1.833929751815072e-4,65,LTU,LTU,440
Lithuania,1.4880730547544828e-4,1.7690770310842822e-4,1.2458159825662145e-4,70,LTU,LTU,440
Lithuania,1.069990648058204e-4,1.289360121058422e-4,8.770891149488096e-5,75,LTU,LTU,440
Lithuania,1.133074220691238e-4,1.3858100031127095e-4,9.158234050730438e-5,80,LTU,LTU,440
Lithuania,1.2792041307141386e-4,1.5758714652928553e-4,1.0247013661745113e-4,85,LTU,LTU,440
Lithuania,1.5281940095278907e-4,1.860699906767086e-4,1.2338627287014585e-4,90,LTU,LTU,440
Lithuania,1.1905490015872278e-4,1.4898818610585896e-4,9.455617551793945e-5,95,LTU,LTU,440
Austria,4.910008136129694e-7,6.916241331817756e-7,3.467451457436835e-7,0,AUT,AUT,40
Austria,3.125581800504409e-7,4.392229602314289e-7,2.130633251812741e-7,1,AUT,AUT,40
Austria,1.332861479343842e-7,1.6883414160486315e-7,1.0543727405769252e-7,5,AUT,AUT,40
Austria,1.307972475434692e-7,1.655015395825488e-7,1.0483025575620766e-7,10,AUT,AUT,40
Austria,1.0043665278736775e-6,1.25992865216639e-6,7.847446313059069e-7,15,AUT,AUT,40
Austria,1.2080496068575017e-6,1.5941833432478628e-6,8.903222852042674e-7,20,AUT,AUT,40
Austria,1.1671045649969727e-6,1.5266688119724971e-6,8.719617476462916e-7,25,AUT,AUT,40
Austria,1.7575625091931855e-6,2.2707419212271053e-6,1.3450914968743363e-6,30,AUT,AUT,40
Austria,2.604309007251024e-6,3.285390979248541e-6,2.040455205699077e-6,35,AUT,AUT,40
Austria,3.4504270496320714e-6,4.418464649370328e-6,2.644227707868831e-6,40,AUT,AUT,40
Austria,5.04954003301283e-6,6.363922748583904e-6,3.97934242407275e-6,45,AUT,AUT,40
Austria,6.287759962266144e-6,7.949692432117393e-6,4.927246849643105e-6,50,AUT,AUT,40
Austria,8.142673857322578e-6,1.0228752567627954e-5,6.3971447361022765e-6,55,AUT,AUT,40
Austria,9.023717508902707e-6,1.1484961112849794e-5,6.956589802687329e-6,60,AUT,AUT,40
Austria,1.0919718049245729e-5,1.3504206957156268e-5,8.698624108999898e-6,65,AUT,AUT,40
Austria,1.4793351498947836e-5,1.8493873474417267e-5,1.1565416360862825e-5,70,AUT,AUT,40
Austria,1.8702087529306653e-5,2.288296821682477e-5,1.5038324732423132e-5,75,AUT,AUT,40
Austria,3.68905149446508e-5,4.492702651786423e-5,2.982831050873199e-5,80,AUT,AUT,40
Austria,6.798332896633553e-5,8.329479600774682e-5,5.522754717001488e-5,85,AUT,AUT,40
Austria,1.0545075653739573e-4,1.318321425342365e-4,8.414709227881067e-5,90,AUT,AUT,40
Austria,1.7555454636993e-4,2.2439674564308823e-4,1.355317450624252e-4,95,AUT,AUT,40
Belgium,8.496673437332801e-7,1.172152900371121e-6,5.953603027233273e-7,0,BEL,BEL,56
Belgium,4.489641406328489e-7,5.841248814357098e-7,3.3898877213038276e-7,1,BEL,BEL,56
Belgium,2.526471842571414e-7,2.9003401078083875e-7,2.2175592774437276e-7,5,BEL,BEL,56
Belgium,1.1764106808560071e-7,1.4340487896573936e-7,9.786831591148488e-8,10,BEL,BEL,56
Belgium,3.81047366610924e-7,4.979052718923937e-7,2.9109782972261865e-7,15,BEL,BEL,56
Belgium,5.9726273276046e-7,7.987444289511437e-7,4.432085814457998e-7,20,BEL,BEL,56
Belgium,6.84313573157469e-7,8.939181206448357e-7,5.156825411787918e-7,25,BEL,BEL,56
Belgium,1.0894297933762394e-6,1.411238611894645e-6,8.07998540230749e-7,30,BEL,BEL,56
Belgium,1.5636820630201033e-6,1.956181134088855e-6,1.2518049393046856e-6,35,BEL,BEL,56
Belgium,1.6785755036586942e-6,2.1001978177393414e-6,1.3260035665884608e-6,40,BEL,BEL,56
Belgium,2.840035780324468e-6,3.5650263043586468e-6,2.2655994542534554e-6,45,BEL,BEL,56
Belgium,3.3915951593440307e-6,4.294907940302748e-6,2.644847739420165e-6,50,BEL,BEL,56
Belgium,4.038973917527907e-6,5.029249443984173e-6,3.2473625894210247e-6,55,BEL,BEL,56
Belgium,5.124980216164699e-6,6.4677684536120795e-6,4.045399321259924e-6,60,BEL,BEL,56
Belgium,6.060468875949871e-6,7.562842391092507e-6,4.760554926222791e-6,65,BEL,BEL,56
Belgium,1.0455249189820612e-5,1.2943348429841296e-5,8.383744184828631e-6,70,BEL,BEL,56
Belgium,1.827943487432963e-5,2.1981608513447183e-5,1.5091276603170857e-5,75,BEL,BEL,56
